frequency (cm^-1),IR intensity,eda_syn.out,eda_anti.out,molecule 1
29.522541,0.050354,0.030828,0.019526,0.050354
30.520228,0.052284,0.032579,0.019705,0.052284
30.810430,0.052914,0.033156,0.019758,0.052914
31.080647,0.053533,0.033726,0.019808,0.053533
31.131963,0.053655,0.033838,0.019817,0.053655
31.352823,0.054193,0.034335,0.019858,0.054193
31.549568,0.054695,0.034800,0.019895,0.054695
32.547255,0.057631,0.037546,0.020085,0.057631
32.716470,0.058207,0.038089,0.020118,0.058207
32.861517,0.058722,0.038576,0.020146,0.058722
33.379850,0.060744,0.040495,0.020249,0.060744
33.576595,0.061595,0.041307,0.020288,0.061595
34.302440,0.065216,0.044780,0.020436,0.065216
34.352294,0.065497,0.045050,0.020446,0.065497
34.574282,0.066801,0.046308,0.020493,0.066801
34.591070,0.066903,0.046407,0.020496,0.066903
35.406877,0.072623,0.051954,0.020669,0.072623
35.603622,0.074247,0.053536,0.020712,0.074247
35.988117,0.077742,0.056946,0.020796,0.077742
36.320624,0.081139,0.060269,0.020870,0.081139
36.329467,0.081235,0.060363,0.020872,0.081235
36.601309,0.084305,0.063371,0.020933,0.084305
37.433904,0.095515,0.074389,0.021127,0.095515
37.623941,0.098496,0.077324,0.021172,0.098496
37.630649,0.098604,0.077430,0.021174,0.098604
38.050177,0.105808,0.084532,0.021275,0.105808
38.356494,0.111626,0.090274,0.021351,0.111626
38.628336,0.117202,0.095781,0.021420,0.117202
39.259764,0.131712,0.110126,0.021585,0.131712
39.460931,0.136802,0.115163,0.021639,0.136802
39.657676,0.142001,0.120308,0.021693,0.142001
39.779731,0.145336,0.123608,0.021727,0.145336
40.383521,0.163038,0.141136,0.021901,0.163038
40.655363,0.171639,0.149656,0.021983,0.171639
40.895588,0.179544,0.157486,0.022057,0.179544
41.487958,0.200123,0.177874,0.022250,0.200123
41.509284,0.200890,0.178633,0.022257,0.200890
41.684703,0.207250,0.184933,0.022317,0.207250
42.410548,0.234352,0.211770,0.022582,0.234352
42.531411,0.238929,0.216301,0.022629,0.238929
42.682390,0.244646,0.221957,0.022689,0.244646
43.238838,0.265442,0.242520,0.022922,0.265442
